system:index,AU_ID,devAge2,grass,paved,pm25_na,sqrt_CO2_road,traffic,.geo
00000000000000000824,10012,-3.186779260635376,-1.4565652143098424,-1.9103447503241562,-5.503835579390853,-2.007541980073072,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000825,10022,-3.186779260635376,-1.465876931239083,-1.9115955829620361,-6.006139498612516,-2.0720392868087507,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000826,10009,-3.18506073688216,-1.3828852082394667,-1.9115955829620361,-5.015383842413089,-2.003833031358425,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000827,10016,-3.185759872943779,-1.3985083708368629,-1.9115955829620361,-5.6498498340804515,-2.0179322124819024,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000828,10015,-3.1858151091987876,-1.4630013667285666,-1.9115955829620361,-5.847964227749935,-2.0760935710680934,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000829,10025,-3.1860825322904103,-1.4599508481317531,-1.9115955829620361,-5.860960051340569,-2.0235598824050136,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000082a,10007,-3.1845470798092332,-1.3561318232577197,-1.9115955829620361,-5.8135723831655755,-2.0207812837412673,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000082b,10019,-3.1855087275717935,-1.4038438434918812,-1.9115955829620361,-5.943716012133273,-2.028125739821153,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000082c,10058,-3.129857834666555,-1.449300417636814,-1.908066463736459,-6.044327759700785,-2.0683027296451026,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000082d,10023,-3.186329829667266,-1.4517302861668657,-1.9115955829620361,-5.847769291948897,-2.0804993580296207,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000082e,10017,-3.1866608265616523,-1.4554221819813746,-1.9115955829620361,-4.627651122010001,-2.0806365794518737,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000082f,10074,-3.1403891153116095,-1.4398144767990249,-1.9057076817764518,-5.745053303007146,-2.0585423435415735,-1.175434751132011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000830,10032,-3.1862038338866596,-1.4665130575091883,-1.9115955829620361,-6.290424036559218,-2.0872572865402157,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000831,10036,-3.122329782949848,-1.4483189496811992,-1.9081630880847342,-6.0032412882694315,-2.0809674161867617,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000832,10062,-3.186592193205516,-1.4552483324958558,-1.9115955829620361,-6.120718229856649,-2.072348272904146,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000833,10061,-3.186779260635376,-1.4532689362476927,-1.9115955829620361,-6.499405314963744,-2.085063753532314,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000834,10059,-3.098397617554583,-1.4413432255656355,-1.9115955829620361,-6.547203878771893,-2.0872626304626465,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
