huc12id,devAge2,grass,paved,pm25_na,sqrt_CO2_road,sqrt_traffic
1.711E+11,-3.095732299,-0.998070325,-1.84756125,-2.69088701,-1.859227519,-1.137258299
1.711E+11,-2.004828317,1.109480592,-1.272992356,-1.258956133,-0.772670794,-0.693639081
1.711E+11,-3.146574721,-0.015496411,-1.809162317,-2.697098821,-1.901750467,-1.146271791
1.711E+11,-2.927639109,2.195627462,-1.634973084,-2.276061115,-1.486417543,-1.023710607
1.711E+11,-2.889574253,1.268577636,-1.714108324,-2.311128179,-1.601706758,-1.047485053
1.711E+11,-2.462078226,1.610210497,-1.429691481,-1.85029477,-1.607725176,-1.061222778
1.711E+11,-2.939751011,0.315640837,-1.707496875,-2.860995125,-1.629663017,-1.09630437
1.711E+11,-3.126815035,-0.302756631,-1.820315676,-2.598614117,-1.835143903,-1.136523114
1.711E+11,-3.166808727,-0.886382393,-1.864189857,-3.020231223,-2.017437747,-1.164350639
1.711E+11,-3.082130852,0.15343278,-1.797248101,-2.945283843,-1.910280053,-1.157010688
1.711E+11,-3.149093063,-0.605348147,-1.811447573,-2.596031286,-1.933670724,-1.15543194
1.711E+11,-3.084881002,0.35253936,-1.778731446,-2.644409829,-1.890579101,-1.146391679
1.711E+11,-2.968961442,-0.213266244,-1.753169561,-1.102430283,-1.773037266,-1.132299138
1.711E+11,-3.14895958,-0.876079929,-1.838227452,-1.560204584,-1.903522049,-1.159802678
1.711E+11,-2.870690837,-0.033772673,-1.633435942,-2.470293584,-1.646181797,-1.095156319
1.711E+11,-2.832000721,-0.39440241,-1.644321939,0.770202415,-1.454954418,-1.062000137
1.711E+11,-2.991713354,-0.416984276,-1.763143142,0.404001475,-1.573102956,-1.084536678
1.711E+11,-3.152700309,-1.120378133,-1.880409896,-3.977454456,-1.968461775,-1.166437188
1.711E+11,-2.797519417,1.538380035,-1.6225818,-2.135681334,-1.630067754,-1.054495138
1.703E+11,-3.183055505,-1.469521172,-1.911573153,-4.775459917,-1.885850369,-1.161734104
1.711E+11,-3.186517336,-1.20026977,-1.897382329,-3.304278819,-2.019496041,-1.169880922
1.711E+11,-3.185421253,-1.44214734,-1.910939443,-4.614873986,-2.067890212,-1.177037447
1.711E+11,-3.185282387,-1.124601759,-1.894135426,-2.81977579,-1.982161643,-1.166886785
1.711E+11,-3.130190751,-0.378992273,-1.794575274,-2.750429752,-1.789148114,-1.130344315
1.71001E+11,-3.109575325,-1.469431653,-1.911592707,-3.538357308,-1.847105504,-1.172920218
1.711E+11,-3.02527328,1.732019679,-1.713098332,-2.129043534,-1.522538128,-1.047895928
1.711E+11,-3.183811645,-1.382956415,-1.910700229,-4.662953944,-2.084844899,-1.177074877
1.711E+11,-1.941647514,0.090970606,-1.1937328,-0.533581346,-0.563463702,-0.64868262
1.711E+11,-2.226200971,-0.078577233,-1.348266995,-0.934296447,-0.796949631,-0.805397447
1.711E+11,-2.400723018,0.623717028,-1.428651507,-0.793688273,-1.153634313,-0.948751674
1.711E+11,-2.307825038,0.665935096,-1.412641936,-0.797987291,-1.061869161,-0.907725529
1.711E+11,-1.039065002,-0.444784878,-1.184901183,0.169336698,-0.135927442,-0.257974828
1.711E+11,-1.255948381,0.625678274,-1.065519022,0.190493265,-0.453113133,-0.625717831
1.711E+11,-3.186401894,-1.004285202,-1.904066937,-3.44633963,-2.040706815,-1.174935556
1.711E+11,-3.163281302,-0.93669344,-1.869545962,-2.686522722,-2.004035325,-1.171031781
1.711E+11,-3.136332019,-0.351112755,-1.802798085,-2.174732619,-1.846696527,-1.13614849
1.711E+11,-3.173246191,-1.206765732,-1.858124068,-2.717222584,-1.811117804,-1.157157202
