Band Value,intercept Count,devAge2 Count,grass Count,paved Count,pm25_na Count,sqrt_CO2_road Count,sqrt_traffic Count
3.25,,,,,,,
3.28,,,,,,256.00,
3.31,,,,,,256.00,
3.34,,,,,,256.00,
3.38,,,,,,,
3.41,,,,,,16.00,
3.44,,,5276996.27,,,,
3.47,,,,,,,
3.50,,,,,,,25192.15
3.53,,,,,,,
3.56,,,,,,,
3.59,,,,,,,
3.63,,,,,,1.00,
3.66,,,,,,,
3.69,,,,,,,
3.72,,,,,,,
3.75,,,,,,256.00,
3.78,,,,,,,
3.81,,,,,,16.00,
3.84,,,,,,272.00,
3.88,,,,,,,
3.91,,,,,,,
3.94,,,,,,,
3.97,,,,,,16.00,
4.00,,,,,,,22374.70
4.03,,,,,,1.00,
4.06,,,,,,,
4.09,,,,,,16.00,
4.13,,,,,,256.00,
4.16,,,,,,,
4.19,,,,,,,
4.22,,,,,,,
4.25,,,,,,16.00,
4.28,,,,,,,
4.31,,,,,,,
4.34,,,,,,,
4.38,,,,,,,
4.41,,,,,,256.00,
4.50,,,,,,,19584.74
5.00,,,,,,,17257.80
5.50,,,,,,,15464.62
6.00,,,,,,,13534.92
6.50,,,,,,,12381.57
7.00,,,,,,,11179.08
7.50,,,,,,,9823.03
8.00,,,,,,,8579.13
8.50,,,,,,,7553.64
9.00,,,,,,,6694.42
9.50,,,,,,,6374.32
10.00,,,,,,,5418.34
10.50,,,,,,,5060.38
11.00,,,,,,,4677.59
11.50,,,,,,,4300.11
12.00,,,,,,,4000.19
12.50,,,,,,,3701.94
13.00,,,,,,,3645.18
13.50,,,,,,,3216.42
14.00,,,,,,,3205.53
14.50,,,,,,,2844.97
15.00,,,,,,,2910.98
15.50,,,,,,,2696.00
16.00,,,,,,,2526.91
16.50,,,,,,,2362.93
17.00,,,,,,,2262.40
17.50,,,,,,,2249.00
18.00,,,,,,,2004.00
18.50,,,,,,,1876.00
19.00,,,,,,,1827.90
19.50,,,,,,,1750.00
20.00,,,,,,,1624.81
20.50,,,,,,,1403.00
21.00,,,,,,,1365.00
21.50,,,,,,,1206.02
22.00,,,,,,,1174.00
22.50,,,,,,,1145.69
23.00,,,,,,,870.15
23.50,,,,,,,830.00
24.00,,,,,,,749.18
