system:index,devAge2,grass,huc12,paved,pm25_na,sqrt_CO2_road,sqrt_traffic,.geo
80,-3.186779261,-1.459824037,1.711E+11,-1.911557442,-3.49259732,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,-3.186779261,-1.396904829,1.711E+11,-1.911595583,-4.05768414,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,-3.186779261,-1.455361013,1.711E+11,-1.910824185,-2.977595206,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,-3.186693893,-1.416155822,1.711E+11,-1.911586274,-3.080948681,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,-3.186779261,-1.453656983,1.711E+11,-1.907411201,-4.090207116,-2.057403776,-1.173915932,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,-3.186779261,-1.458511584,1.711E+11,-1.911575409,-4.035102528,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,-3.186779261,-1.459812176,1.711E+11,-1.911595583,-4.651119659,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,-3.186779261,-1.442358871,1.711E+11,-1.908504116,-4.755760644,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,-3.186779261,-1.441207898,1.711E+11,-1.911595583,-3.892241264,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,-3.186257185,-1.349102863,1.711E+11,-1.911262612,-3.516430994,-2.082451651,-1.176968103,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,-3.18628407,-1.406140614,1.711E+11,-1.911424957,-3.487946919,-2.085639386,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,-3.186287604,-1.451685461,1.711E+11,-1.911595583,-3.932565107,-2.085539826,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,-3.186779261,-1.452002814,1.711E+11,-1.911595583,-4.656528494,-2.073568081,-1.176305637,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,-3.186779261,-1.443018193,1.711E+11,-1.911595583,-4.742423339,-2.086389625,-1.177060677,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,-3.186659027,-1.436278806,1.711E+11,-1.911595583,-4.498489351,-2.087237251,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,-3.186171115,-1.43561079,1.711E+11,-1.911458577,-3.900034532,-2.061746186,-1.176722989,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,-3.185087261,-1.347365805,1.711E+11,-1.887153431,-2.908176155,-1.993320701,-1.166462357,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,-3.186250222,-1.331319633,1.711E+11,-1.911595583,-3.791800578,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,-3.186667613,-1.437721816,1.711E+11,-1.898989135,-2.719816562,-2.017876721,-1.169077689,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,-3.186697105,-1.383421627,1.711E+11,-1.905171664,-3.701981005,-2.054985143,-1.174995124,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,-3.18637522,-1.347836119,1.711E+11,-1.910767572,-3.562151587,-2.078636408,-1.176812117,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,-3.186650528,-1.393327734,1.711E+11,-1.910021859,-4.140702845,-2.073108288,-1.176758233,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,-3.186433013,-1.28392447,1.711E+11,-1.911595583,-3.862060827,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,-3.184128432,-1.305372585,1.711E+11,-1.911595583,-3.742434125,-2.085670035,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,-3.186657935,-1.388449217,1.711E+11,-1.904091215,-3.555326835,-2.074346469,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,-3.182751756,-1.286816157,1.711E+11,-1.905607254,-3.917110823,-2.082160434,-1.176551393,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,-3.186776947,-1.442550179,1.711E+11,-1.910414321,-4.769976679,-2.083384001,-1.176905252,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,-3.183163745,-1.171908239,1.711E+11,-1.89187425,-2.875159145,-2.00193692,-1.166642153,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,-3.186221479,-1.407341721,1.711E+11,-1.907787851,-4.704152427,-2.062713447,-1.176102515,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,-3.183540826,-1.288954103,1.711E+11,-1.892700819,-3.664276861,-2.048707354,-1.172768536,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,-3.18672182,-1.452062307,1.711E+11,-1.911595583,-5.206166024,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,-3.186779261,-1.453074689,1.711E+11,-1.911595583,-5.745980139,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,-3.183973902,-1.430982945,1.711E+11,-1.909835758,-5.031137665,-2.07951982,-1.175096497,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,-3.186779261,-1.46214808,1.711E+11,-1.911595583,-5.237302773,-2.086597804,-1.176970096,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,-3.186662194,-1.443211724,1.711E+11,-1.911429258,-4.639464422,-2.075697448,-1.176969473,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,-3.186777867,-1.447491099,1.711E+11,-1.911595583,-5.544086617,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,-3.186779261,-1.462595996,1.711E+11,-1.911595583,-5.190555175,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,-3.186779261,-1.459709346,1.711E+11,-1.911595583,-5.144794014,-2.086916277,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,-3.186779261,-1.443112581,1.711E+11,-1.911595583,-4.862924159,-2.086719176,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,-3.186779261,-1.468128264,1.711E+11,-1.911595583,-5.364436639,-2.087200957,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,-3.186779261,-1.450091307,1.711E+11,-1.911595583,-4.694604708,-2.08347325,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,-3.186776859,-1.459958393,1.711E+11,-1.911595583,-4.806290544,-2.086270324,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,-3.186767673,-1.450669387,1.711E+11,-1.911595583,-4.738473472,-2.084621881,-1.177011908,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,-3.186759509,-1.413813882,1.711E+11,-1.911595583,-3.978114915,-2.065350543,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,-3.18565116,-1.405388676,1.711E+11,-1.910657142,-4.039408415,-2.075343973,-1.174714792,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,-3.185831791,-1.326219461,1.711E+11,-1.910908072,-3.287587153,-2.06107263,-1.176347286,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,-3.185749211,-1.376686467,1.711E+11,-1.896581288,-3.674697897,-2.053696315,-1.173274581,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,-3.185862222,-1.299447366,1.711E+11,-1.911527722,-4.688923906,-2.086111441,-1.177103803,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,-3.182703522,-0.76729437,1.711E+11,-1.877225083,-2.568561867,-1.925298086,-1.154678245,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc,-3.18677603,-1.449829524,1.711E+11,-1.911105506,-4.205248361,-2.085038436,-1.177088424,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd,-3.137894419,-0.789786807,1.711E+11,-1.853125534,-2.586787228,-1.966560939,-1.161307027,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de,-3.186779261,-1.44625224,1.711E+11,-1.908925354,-5.309668474,-2.069075335,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df,-3.185314986,-1.098331277,1.711E+11,-1.869195659,-3.911067289,-2.005931677,-1.160877406,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.184364402,-1.221068758,1.711E+11,-1.910676987,-3.86020496,-2.069408933,-1.1764059,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.173111835,-0.628593125,1.711E+11,-1.846642943,-3.780681896,-1.940769533,-1.149862102,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.180972367,-0.767520213,1.711E+11,-1.871925946,-3.718825312,-1.98718907,-1.155885828,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.185803746,-1.248852454,1.711E+11,-1.902562581,-4.886811437,-2.080120873,-1.176110567,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.167578501,-0.679847278,1.711E+11,-1.86699596,-3.647737999,-1.952808724,-1.163894555,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.169401307,-0.458636868,1.711E+11,-1.857401094,-3.26503311,-1.926977565,-1.152696188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.003577692,-0.175106244,1.711E+11,-1.691551376,-2.797466712,-1.663292803,-1.102021776,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.186760056,-1.437745142,1.711E+11,-1.911595583,-4.667455246,-2.075322845,-1.177094061,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.184845673,-0.953633157,1.711E+11,-1.903705657,-3.778146758,-2.048907588,-1.172249415,"{""type"":""MultiPoint"",""coordinates"":[]}"
0.00E+00,-3.185029655,-1.052973042,1.711E+11,-1.887519644,-3.401441583,-1.993099011,-1.16587676,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea,-3.186146924,-1.225436097,1.711E+11,-1.909070506,-4.641363819,-2.07201693,-1.175689271,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb,-3.183665324,-1.01155357,1.711E+11,-1.891611905,-3.796941655,-2.012404048,-1.165238765,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec,-3.1864489,-1.413720502,1.711E+11,-1.910550156,-5.429170289,-2.087023385,-1.177096641,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed,-3.181997966,-1.229154649,1.711E+11,-1.908267569,-4.807799652,-2.056268674,-1.175152209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee,-3.180826285,-0.745258372,1.711E+11,-1.890234123,-3.625704799,-1.995693868,-1.163411762,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef,-3.185223373,-1.398596494,1.711E+11,-1.905141676,-4.786205367,-2.072055914,-1.173925198,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0,-3.186284087,-1.390212695,1.711E+11,-1.90591906,-4.507522342,-2.026767432,-1.173503069,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1,-3.186656533,-1.389117371,1.711E+11,-1.911595583,-4.992353038,-2.054156718,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2,-3.179588315,-0.752503875,1.711E+11,-1.876537436,-3.792840907,-1.999075217,-1.171349757,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3,-3.177704504,-1.136289618,1.711E+11,-1.884657038,-3.864495313,-1.943763367,-1.171491554,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4,-3.168611044,-1.144693505,1.711E+11,-1.888976999,-3.948424502,-2.011844412,-1.167817429,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,-3.185811457,-1.300732506,1.711E+11,-1.897088911,-4.471214466,-2.015645634,-1.173185207,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,-3.161979534,-0.282608042,1.711E+11,-1.8553622,-3.236396838,-1.894855844,-1.151130503,"{""type"":""MultiPoint"",""coordinates"":[]}"
