system:index,Watershed Name,devAge2,grass,paved,pm25_na,sqrt_CO2_road,sqrt_traffic,.geo
43,23997206,-3.186779261,-1.455170385,-1.911595583,-4.9026195,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,23963509,-3.186779261,-1.452597638,-1.905925551,-3.493171487,-2.031195328,-1.173830387,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,24538154,-3.186779261,-1.462991012,-1.911595583,-3.846311145,-1.618923128,-1.173091224,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,24254937,-3.172245871,-1.46358376,-1.911595583,-5.41697684,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,24287566,-3.158643004,-0.995504015,-1.891713061,-1.729553228,-1.826605047,-1.14657412,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,23964355,-3.186648723,-1.467540411,-1.869639166,-3.647409626,-1.983240604,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,24538686,-3.184654068,-1.338877275,-1.854317895,-2.956056076,-1.954900855,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,24534412,-2.846511114,-0.701926951,-1.500312539,-1.298374523,-1.087628903,-0.904627551,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,23990275,-2.993322465,-0.385201144,-1.750924067,0.546255624,-1.622698208,-1.041905813,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,23964197,-3.186779261,-1.468410849,-1.911595583,-5.417935571,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,24538560,-3.17345706,-0.419106153,-1.805417787,-2.8018354,-1.750249052,-1.172450281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,23978280,-3.186779261,-1.176734042,-1.900683506,-3.753969034,-2.037548401,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,23956432,-3.184487464,-1.364376035,-1.911595583,-4.0412379,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,23977932,-0.625177712,-0.114391627,-0.722533017,1.044786204,0.179109272,-0.132092137,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,23952716,-3.186779261,-1.462496729,-1.911595583,-3.077674438,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,23956588,-3.186712104,-1.293006899,-1.911595583,-3.711129232,-2.078766626,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,23980753,-3.162612367,-1.450997984,-1.911595583,-6.849308111,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,23980963,-3.186779261,-1.427356264,-1.911595583,-5.684637528,-1.994112336,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,24285540,-3.16729425,-1.441669635,-1.911595583,-5.081664642,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,24275051,-3.186779261,-1.44402159,-1.911595583,-4.679275366,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,23963959,-3.186779261,-1.46865586,-1.911595583,-4.138409676,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,23963415,-3.186779261,-1.452653613,-1.911595583,-2.630507628,-2.013932142,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,23977912,-2.348526909,0.684738687,-1.394917371,-0.424601208,-0.489598512,-0.807320363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,24538620,-3.186779261,-1.435573741,-1.911595583,-4.247200863,-2.082180936,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,23997554,-3.186779261,-1.467321119,-1.9081691,-4.701639947,-2.002702462,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,23978042,-3.057758695,2.329630527,-1.774788671,-1.526237048,-1.698741304,-1.141628943,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,24282128,-3.136516546,-1.306326884,-1.855232017,-3.785947306,-1.939674363,-1.146196349,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,23956402,-3.186779261,-1.432390973,-1.911595583,-4.279075181,-2.051090946,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,24285734,-3.184742508,-1.454803828,-1.889616485,-5.329711552,-2.038629938,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,24538422,-2.802042485,-0.236793926,-1.600336735,-1.26881503,-1.032449912,-1.047183759,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,23970201,-3.114726537,0.275435216,-1.795369474,-1.004445446,-1.499744153,-1.074663899,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,24001341,-3.186779261,-1.415457923,-1.911451476,-3.759741064,-2.023432384,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,23990221,0.311422424,-0.18794225,-1.012554682,-0.132755121,-0.111594113,-0.361575703,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,24255449,-3.186779261,-1.469545126,-1.848701385,-4.521011294,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,23953967,-3.177057594,1.657835027,-1.76915271,-2.513848626,-1.889134299,-1.131825082,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,24279032,-2.994975775,1.432738307,-1.771422172,-1.207948773,-1.57319674,-1.011874478,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,23989091,-1.521797431,-0.189934954,-1.18509227,-0.364000571,-0.405792605,-0.289708285,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,23964101,-3.186509361,-1.459322423,-1.911595583,-2.99325885,-2.082907709,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,23980479,-3.175094987,-1.238065471,-1.911595583,-3.566339648,-2.064713821,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,24274941,-3.184930325,-0.730062172,-1.90246736,-2.659141268,-1.96219969,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
